config	image	mode	runs	total_real_s	avg_ms
cfgA	testorig.ppm	off	80	0.57	7.125
cfgA	testorig.ppm	log	80	0.57	7.125
cfgA	testorig.ppm	on	80	0.57	7.125
cfgA	monkey16.ppm	off	80	0.76	9.500
cfgA	monkey16.ppm	log	80	0.75	9.375
cfgA	monkey16.ppm	on	80	0.76	9.500
cfgA	vgl_5674_0098.bmp	off	80	0.71	8.875
cfgA	vgl_5674_0098.bmp	log	80	0.71	8.875
cfgA	vgl_5674_0098.bmp	on	80	0.72	9.000
cfgB	testorig.ppm	off	80	0.54	6.750
cfgB	testorig.ppm	log	80	0.51	6.375
cfgB	testorig.ppm	on	80	0.51	6.375
cfgB	monkey16.ppm	off	80	0.62	7.750
cfgB	monkey16.ppm	log	80	0.63	7.875
cfgB	monkey16.ppm	on	80	0.63	7.875
cfgB	vgl_5674_0098.bmp	off	80	0.59	7.375
cfgB	vgl_5674_0098.bmp	log	80	0.58	7.250
cfgB	vgl_5674_0098.bmp	on	80	0.58	7.250
